ID,State_FIPS,Name,Region_type
101,1,"Anniston-Oxford-Jacksonville, AL",MSA
102,1,"Birmingham-Hoover-Talladega, AL",CSA
103,1,"Chattanooga-Cleveland-Dalton, TN-GA-AL",CSA
104,1,"Columbus-Auburn-Opelika, GA-AL",CSA
105,1,"Dothan-Enterprise-Ozark, AL",CSA
106,1,"Florence-Muscle Shoals, AL",MSA
107,1,"Gadsden, AL",MSA
108,1,"Huntsville-Decatur-Albertville, AL",CSA
109,1,"Mobile-Daphne-Fairhope, AL",CSA
110,1,"Montgomery, AL",MSA
111,1,"Tuscaloosa, AL",MSA
199,1,Remainder of Alabama,RS
401,4,"Flagstaff, AZ",MSA
402,4,"Las Vegas-Henderson, NV-AZ",CSA
403,4,"Phoenix-Mesa-Scottsdale, AZ",MSA
404,4,"Prescott, AZ",MSA
405,4,"Sierra Vista-Douglas, AZ",MSA
406,4,"Tucson-Nogales, AZ",CSA
407,4,"Yuma, AZ",MSA
499,4,Remainder of Arizona,RS
501,5,"Fayetteville-Springdale-Rogers, AR-MO",MSA
502,5,"Fort Smith, AR-OK",MSA
503,5,"Hot Springs-Malvern, AR",CSA
504,5,"Jonesboro-Paragould, AR",CSA
505,5,"Little Rock-North Little Rock, AR",CSA
506,5,"Memphis-Forrest City, TN-MS-AR",CSA
507,5,"Texarkana, TX-AR",MSA
599,5,Remainder of Arkansas,RS
601,6,"Bakersfield, CA",MSA
602,6,"Chico, CA",MSA
603,6,"El Centro, CA",MSA
604,6,"Fresno-Madera, CA",CSA
605,6,"Los Angeles-Long Beach, CA",CSA
606,6,"Modesto-Merced, CA",CSA
607,6,"Redding-Red Bluff, CA",CSA
608,6,"Sacramento-Roseville, CA",CSA
609,6,"Salinas, CA",MSA
610,6,"San Diego-Carlsbad, CA",MSA
611,6,"San Jose-San Francisco-Oakland, CA",CSA
612,6,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",MSA
613,6,"Santa Maria-Santa Barbara, CA",MSA
614,6,"Visalia-Porterville-Hanford, CA",CSA
699,6,Remainder of California,RS
801,8,"Colorado Springs, CO",MSA
802,8,"Denver-Aurora, CO",CSA
803,8,"Edwards-Glenwood Springs, CO",CSA
804,8,"Fort Collins, CO",MSA
805,8,"Grand Junction, CO",MSA
806,8,Pueblo-Ca,CSA
807,8,"Steamboat Springs-Craig, CO",CSA
899,8,Remainder of Colorado,RS
901,9,"Boston-Worcester-Providence, MA-RI-NH-CT",CSA
902,9,"Hartford-West Hartford-East Hartford, CT",MSA
903,9,"New York-Newark, NY-NJ-CT-PA",CSA
999,9,Remainder of Connecticut,RS
1001,10,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",CSA
1002,10,"Salisbury, MD-DE",MSA
1101,11,"Washington-Arlington-Alexandria, DC-VA-MD-WV",MSA
1201,12,"Cape Coral-Fort Myers-Naples, FL",CSA
1202,12,"Crestview-Fort Walton Beach-Destin, FL",MSA
1203,12,"Gainesville-Lake City, FL",CSA
1204,12,"Homosassa Springs, FL",MSA
1205,12,"Jacksonville-St. Marys-Palatka, FL-GA",CSA
1206,12,"Lakeland-Winter Haven, FL",MSA
1207,12,"Miami-Fort Lauderdale-Port St. Lucie, FL",CSA
1208,12,"North Port-Sarasota, FL",CSA
1209,12,"Ocala, FL",MSA
1210,12,"Orlando-Deltona-Daytona Beach, FL",CSA
1211,12,"Palm Bay-Melbourne-Titusville, FL",MSA
1212,12,"Panama City, FL",MSA
1213,12,"Pensacola-Ferry Pass-Brent, FL",MSA
1214,12,"Sebring, FL",MSA
1215,12,"Tallahassee-Bainbridge, FL-GA",CSA
1216,12,"Tampa-St. Petersburg-Clearwater, FL",MSA
1299,12,Remainder of Florida,RS
1301,13,"Albany, GA",MSA
1302,13,"Atlanta--Athens-Clarke County--Sandy Springs, GA",CSA
1303,13,"Augusta-Richmond County, GA-SC",MSA
1304,13,"Brunswick, GA",MSA
1308,13,"Macon-Warner Robins, GA",CSA
1309,13,"Rome-Summerville, GA",CSA
1310,13,"Savannah-Hinesville-Statesboro, GA",CSA
1312,13,"Valdosta, GA",MSA
1399,13,Remainder of Georgia,RS
1601,16,"Boise City-Mountain Home-Ontario, ID-OR",CSA
1602,16,"Idaho Falls-Rexburg-Blackfoot, ID",CSA
1603,16,"Lewiston, ID-WA",MSA
1604,16,"Logan, UT-ID",MSA
1605,16,"Pocatello, ID",MSA
1606,16,"Pullman-Moscow, WA-ID",CSA
1607,16,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",CSA
1699,16,Remainder of Idaho,RS
1701,17,"Bloomington-Pontiac, IL",CSA
1702,17,"Cape Girardeau-Sikeston, MO-IL",CSA
1703,17,"Carbondale-Marion, IL",MSA
1704,17,"Champaign-Urbana, IL",MSA
1705,17,"Chicago-Naperville, IL-IN-WI",CSA
1706,17,"Danville, IL",MSA
1708,17,"Decatur, IL",MSA
1709,17,"Dixon-Sterling, IL",CSA
1710,17,"Paducah-Mayfield, KY-IL",CSA
1711,17,"Peoria-Canton, IL",CSA
1712,17,"Quincy-Hannibal, IL-MO",CSA
1713,17,"Rockford-Freeport-Rochelle, IL",CSA
1714,17,"Springfield-Jacksonville-Lincoln, IL",CSA
1715,17,"St. Louis-St. Charles-Farmington, MO-IL",CSA
1799,17,Remainder of Illinois,RS
1801,18,"Bloomington-Bedford, IN",CSA
1803,18,"Cincinnati-Wilmington-Maysville, OH-KY-IN",CSA
1804,18,"Evansville, IN-KY",MSA
1805,18,"Fort Wayne-Huntington-Auburn, IN",CSA
1806,18,"Indianapolis-Carmel-Muncie, IN",CSA
1807,18,"Kokomo-Peru, IN",CSA
1808,18,"Lafayette-West Lafayette-Frankfort, IN",CSA
1809,18,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",CSA
1810,18,"Richmond-Connersville, IN",CSA
1811,18,"South Bend-Elkhart-Mishawaka, IN-MI",CSA
1812,18,"Terre Haute, IN",MSA
1899,18,Remainder of Indiana,RS
1901,19,"Cedar Rapids-Iowa City, IA",CSA
1902,19,"Davenport-Moline, IA-IL",CSA
1903,19,"Des Moines-Ames-West Des Moines, IA",CSA
1904,19,"Dubuque, IA",MSA
1905,19,"Omaha-Council Bluffs-Fremont, NE-IA",CSA
1906,19,"Sioux City-Vermillion, IA-SD-NE",CSA
1907,19,"Waterloo-Cedar Falls, IA",MSA
1999,19,Remainder of Iowa,RS
2001,20,"Kansas City-Overland Park-Kansas City, MO-KS",CSA
2002,20,"Manhattan-Junction City, KS",CSA
2003,20,"Topeka, KS",MSA
2004,20,"Wichita-Arkansas City-Winfield, KS",CSA
2099,20,Remainder of Kansas,RS
2101,21,"Bowling Green-Glasgow, KY",CSA
2102,21,"Charleston-Huntington-Ashland, WV-OH-KY",CSA
2104,21,"Clarksville, TN-KY",MSA
2106,21,"Lexington-Fayette--Richmond--Frankfort, KY",CSA
2108,21,"Martin-Union City, TN-KY",CSA
2109,21,"Owensboro, KY",MSA
2199,21,Remainder of Kentucky,RS
2201,22,"Alexandria, LA",MSA
2202,22,"Baton Rouge, LA",MSA
2203,22,"DeRidder-Fort Polk South, LA",CSA
2204,22,"Houma-Thibodaux, LA",MSA
2205,22,"Lafayette-Opelousas-Morgan City, LA",CSA
2206,22,"Lake Charles, LA",MSA
2207,22,"Monroe-Ruston-Bastrop, LA",CSA
2208,22,"New Orleans-Metairie-Hammond, LA-MS",CSA
2209,22,"Shreveport-Bossier City, LA",MSA
2299,22,Remainder of Louisiana,RS
2301,23,"Bangor, ME",MSA
2302,23,"Portland-Lewiston-South Portland, ME",CSA
2399,23,Remainder of Maine,RS
2401,24,"Baltimore-Columbia-Towson, MD",MSA
2402,24,"Cumberland, MD-WV",MSA
2499,24,Remainder of Maryland,RS
2502,25,"Pittsfield, MA",MSA
2503,25,"Springfield-Greenfield Town, MA",CSA
2599,25,Remainder of Massachusetts,RS
2601,26,"Detroit-Warren-Ann Arbor, MI",CSA
2602,26,"Grand Rapids-Wyoming-Muskegon, MI",CSA
2603,26,"Jackson, MI",MSA
2604,26,"Kalamazoo-Battle Creek-Portage, MI",CSA
2605,26,"Lansing-East Lansing-Owosso, MI",CSA
2606,26,"Mount Pleasant-Alma, MI",CSA
2607,26,"Saginaw-Midland-Bay City, MI",CSA
2699,26,Remainder of Michigan,RS
2701,27,"Duluth, MN-WI",MSA
2702,27,"Fargo-Wahpeton, ND-MN",CSA
2703,27,"Grand Forks, ND-MN",MSA
2704,27,"La Crosse-Onalaska, WI-MN",MSA
2705,27,"Mankato-New Ulm-North Mankato, MN",CSA
2706,27,"Minneapolis-St. Paul, MN-WI",CSA
2707,27,"Rochester-Austin, MN",CSA
2799,27,Remainder of Minnesota,RS
2801,28,"Cleveland-Indianola, MS",CSA
2802,28,"Gulfport-Biloxi-Pascagoula, MS",MSA
2803,28,"Hattiesburg, MS",MSA
2804,28,"Jackson-Vicksburg-Brookhaven, MS",CSA
2899,28,Remainder of Mississippi,RS
2902,29,"Columbia-Moberly-Mexico, MO",CSA
2904,29,"Jefferson City, MO",MSA
2905,29,"Joplin-Miami, MO-OK",CSA
2908,29,"Springfield-Branson, MO",CSA
2999,29,Remainder of Missouri,RS
3001,30,"Billings, MT",MSA
3002,30,"Great Falls, MT",MSA
3003,30,"Missoula, MT",MSA
3099,30,Remainder of Montana,RS
3101,31,"Grand Island, NE",MSA
3102,31,"Lincoln-Beatrice, NE",CSA
3199,31,Remainder of Nebraska,RS
3202,32,"Reno-Carson City-Fernley, NV",CSA
3299,32,Remainder of Nevada,RS
3399,33,Remainder of New Hampshire,RS
3501,35,"Albuquerque-Santa Fe-Las Vegas, NM",CSA
3502,35,"Clovis-Portales, NM",CSA
3503,35,"El Paso-Las Cruces, TX-NM",CSA
3504,35,"Farmington, NM",MSA
3599,35,Remainder of New Mexico,RS
3601,36,"Albany-Schenectady, NY",CSA
3602,36,"Binghamton, NY",MSA
3603,36,"Buffalo-Cheektowaga, NY",CSA
3604,36,"Elmira-Corning, NY",CSA
3605,36,"Ithaca-Cortland, NY",CSA
3607,36,"Rochester-Batavia-Seneca Falls, NY",CSA
3608,36,"Syracuse-Auburn, NY",CSA
3609,36,"Utica-Rome, NY",MSA
3610,36,"Watertown-Fort Drum, NY",MSA
3699,36,Remainder of New York,RS
3701,37,"Asheville-Brevard, NC",CSA
3703,37,"Fayetteville-Lumberton-Laurinburg, NC",CSA
3704,37,"Goldsboro, NC",MSA
3705,37,"Greensboro--Winston-Salem--High Point, NC",CSA
3706,37,"Greenville-Washington, NC",CSA
3707,37,"Hickory-Lenoir, NC",CSA
3708,37,"Jacksonville, NC",MSA
3709,37,"Myrtle Beach-Conway, SC-NC",CSA
3710,37,"New Bern-Morehead City, NC",CSA
3711,37,"Raleigh-Durham-Chapel Hill, NC",CSA
3712,37,"Rocky Mount-Wilson-Roanoke Rapids, NC",CSA
3713,37,"Virginia Beach-Norfolk, VA-NC",CSA
3714,37,"Wilmington, NC",MSA
3799,37,Remainder of North Carolina,RS
3801,38,"Bismarck, ND",MSA
3899,38,Remainder of North Dakota,RS
3903,39,"Cleveland-Akron-Canton, OH",CSA
3904,39,"Columbus-Marion-Zanesville, OH",CSA
3905,39,"Dayton-Springfield-Sidney, OH",CSA
3906,39,"Findlay-Tiffin, OH",CSA
3907,39,"Lima-Van Wert-Celina, OH",CSA
3908,39,"Mansfield-Ashland-Bucyrus, OH",CSA
3909,39,"Parkersburg-Marietta-Vienna, WV-OH",CSA
3911,39,"Toledo-Port Clinton, OH",CSA
3912,39,"Wheeling, WV-OH",MSA
3913,39,"Youngstown-Warren, OH-PA",CSA
3999,39,Remainder of Ohio,RS
4001,40,"Dallas-Fort Worth, TX-OK",CSA
4004,40,"Lawton, OK",MSA
4005,40,"Oklahoma City-Shawnee, OK",CSA
4006,40,"Tulsa-Muskogee-Bartlesville, OK",CSA
4099,40,Remainder of Oklahoma,RS
4101,41,"Bend-Redmond-Prineville, OR",CSA
4103,41,"Eugene, OR",MSA
4104,41,"Medford-Grants Pass, OR",CSA
4105,41,"Portland-Vancouver-Salem, OR-WA",CSA
4199,41,Remainder of Oregon,RS
4201,42,"Altoona, PA",MSA
4202,42,"Bloomsburg-Berwick-Sunbury, PA",CSA
4203,42,"Erie-Meadville, PA",CSA
4204,42,"Harrisburg-York-Lebanon, PA",CSA
4205,42,"Johnstown-Somerset, PA",CSA
4206,42,"Lancaster, PA",MSA
4210,42,"Scranton--Wilkes-Barre--Hazleton, PA",MSA
4211,42,"State College-DuBois, PA",CSA
4212,42,"Williamsport-Lock Haven, PA",CSA
4299,42,Remainder of Pennsylvania,RS
4502,45,"Charleston-North Charleston, SC",MSA
4503,45,"Charlotte-Concord, NC-SC",CSA
4504,45,"Columbia-Orangeburg-Newberry, SC",CSA
4505,45,"Florence, SC",MSA
4506,45,"Greenville-Spartanburg-Anderson, SC",CSA
4507,45,"Hilton Head Island-Bluffton-Beaufort, SC",MSA
4509,45,"Sumter, SC",MSA
4599,45,Remainder of South Carolina,RS
4601,46,"Rapid City-Spearfish, SD",CSA
4603,46,"Sioux Falls, SD",MSA
4699,46,Remainder of South Dakota,RS
4703,47,"Jackson, TN",MSA
4704,47,"Johnson City-Kingsport-Bristol, TN-VA",CSA
4705,47,"Knoxville-Morristown-Sevierville, TN",CSA
4708,47,"Nashville-Davidson--Murfreesboro, TN",CSA
4799,47,Remainder of Tennessee,RS
4801,48,"Abilene, TX",MSA
4802,48,"Amarillo-Borger, TX",CSA
4803,48,"Austin-Round Rock, TX",MSA
4804,48,"Beaumont-Port Arthur, TX",MSA
4805,48,"Brownsville-Harlingen-Raymondville, TX",CSA
4806,48,"College Station-Bryan, TX",MSA
4807,48,"Corpus Christi-Kingsville-Alice, TX",CSA
4810,48,"Houston-The Woodlands, TX",CSA
4811,48,"Killeen-Temple, TX",MSA
4812,48,"Laredo, TX",MSA
4813,48,"Longview-Marshall, TX",CSA
4814,48,"Lubbock-Levelland, TX",CSA
4815,48,"McAllen-Edinburg, TX",CSA
4816,48,"Midland-Odessa, TX",CSA
4817,48,"San Angelo, TX",MSA
4818,48,"San Antonio-New Braunfels, TX",MSA
4820,48,"Tyler-Jacksonville, TX",CSA
4821,48,"Victoria-Port Lavaca, TX",CSA
4822,48,"Waco, TX",MSA
4823,48,"Wichita Falls, TX",MSA
4899,48,Remainder of Texas,RS
4902,49,"Salt Lake City-Provo-Orem, UT",CSA
4903,49,"St. George, UT",MSA
4999,49,Remainder of Utah,RS
5001,50,"Burlington-South Burlington, VT",MSA
5099,50,Remainder of Vermont,RS
5101,51,"Blacksburg-Christiansburg-Radford, VA",MSA
5102,51,"Charlottesville, VA",MSA
5103,51,"Harrisonburg-Staunton-Waynesboro, VA",CSA
5105,51,"Lynchburg, VA",MSA
5106,51,"Richmond, VA",MSA
5107,51,"Roanoke, VA",MSA
5199,51,Remainder of Virginia,RS
5301,53,"Bellingham, WA",MSA
5302,53,"Kennewick-Richland, WA",MSA
5304,53,"Moses Lake-Othello, WA",CSA
5307,53,"Seattle-Tacoma, WA",CSA
5309,53,"Walla Walla, WA",MSA
5310,53,"Wenatchee, WA",MSA
5311,53,"Yakima, WA",MSA
5399,53,Remainder of Washington,RS
5401,54,"Beckley, WV",MSA
5404,54,"Morgantown-Fairmont, WV",CSA
5406,54,"Pittsburgh-New Castle-Weirton, PA-OH-WV",CSA
5499,54,Remainder of West Virginia,RS
5501,55,"Appleton-Oshkosh-Neenah, WI",CSA
5504,55,"Eau Claire-Menomonie, WI",CSA
5505,55,"Fond du Lac, WI",MSA
5506,55,"Green Bay-Shawano, WI",CSA
5508,55,"Madison-Janesville-Beloit, WI",CSA
5509,55,"Milwaukee-Racine-Waukesha, WI",CSA
5511,55,"Sheboygan, WI",MSA
5512,55,"Wausau-Stevens Point-Wisconsin Rapids, WI",CSA
5599,55,Remainder of Wisconsin,RS
5601,56,"Casper, WY",MSA
5602,56,"Cheyenne, WY",MSA
5699,56,Remainder of Wyoming,RS
